,timestamp,count,country,size,cumulative_percentage,normalized_cum_per,test,percentage_until_saturation
0,2008-01-22 00:00:00+00:00,185.0,NZ,1438498.7,7775.668648648649,0.05438920449468104,True,0.00020461342441027093
1,2008-02-22 00:00:00+00:00,295.0,NZ,1695819.16,5748.539525423728,0.04020985280132346,True,0.0003262754605461077
2,2008-03-22 00:00:00+00:00,365.0,NZ,2284254.82,6258.2323835616435,0.0437750496150482,True,0.00040369675626891294
3,2008-04-22 00:00:00+00:00,623.0,NZ,3871003.95,6213.48948635634,0.04346208224262723,True,0.0006890495319329664
4,2008-05-22 00:00:00+00:00,977.0,NZ,5198817.96,5321.205690890481,0.03722074043502371,True,0.0010805800845882956
5,2008-06-22 00:00:00+00:00,1084.0,NZ,5810770.68,5360.489557195571,0.037495523007990035,True,0.001198924065193155
6,2008-07-22 00:00:00+00:00,1152.0,NZ,5988981.67,5198.768810763889,0.036364319616210485,True,0.0012741333238953088
7,2008-08-22 00:00:00+00:00,1234.0,NZ,6498387.86,5266.116580226904,0.03683540342534646,True,0.0013648268417420235
8,2008-09-22 00:00:00+00:00,1469.0,NZ,7776241.72,5293.561415929204,0.03702737441186666,True,0.0016247411916685839
9,2008-10-22 00:00:00+00:00,1590.0,NZ,8290625.13,5214.229641509434,0.036472464950467146,True,0.0017585694314180042
10,2008-11-22 00:00:00+00:00,1734.0,NZ,8388826.0,4837.846597462514,0.03383974289452457,True,0.0019178360969049177
11,2008-12-22 00:00:00+00:00,1888.0,NZ,9263144.07,4906.326308262712,0.03431874440072891,True,0.002088162947495089
12,2009-01-22 00:00:00+00:00,2047.0,NZ,10006887.63,4888.562594040059,0.03419449086973401,True,0.0022640198906368897
13,2009-02-22 00:00:00+00:00,2151.0,NZ,10356934.76,4814.939451417945,0.0336795121147801,True,0.0023790458157107717
14,2009-03-22 00:00:00+00:00,2253.0,NZ,10686601.86,4743.276458055925,0.033178244201139614,True,0.0024918597037640023
15,2009-04-22 00:00:00+00:00,2375.0,NZ,11315848.76,4764.567898947368,0.03332717345532438,True,0.0026267939620237485
16,2009-05-22 00:00:00+00:00,2604.0,NZ,11967863.8,4595.953840245776,0.03214775276061758,True,0.002880072200888354
17,2009-06-22 00:00:00+00:00,2711.0,NZ,12192768.3,4497.516894135006,0.03145920654886754,True,0.0029984161814932135
18,2009-07-22 00:00:00+00:00,2936.0,NZ,12984024.61,4422.351706403269,0.030933441505222967,True,0.003247270346316516
19,2009-08-22 00:00:00+00:00,3179.0,NZ,13794538.68,4339.269795533187,0.030352300609911398,True,0.003516032844325683
20,2009-09-22 00:00:00+00:00,3276.0,NZ,14088227.38,4300.435708180708,0.030080664148300428,True,0.003623316639827284
21,2009-10-22 00:00:00+00:00,3430.0,NZ,14600228.13,4256.626276967931,0.029774226178693592,True,0.0037936434904174555
22,2009-11-22 00:00:00+00:00,3684.0,NZ,14900351.55,4044.612255700326,0.028291231663428663,True,0.004074572192040206
23,2009-12-22 00:00:00+00:00,4701.0,NZ,16949088.03,3605.421831525208,0.025219184888812356,True,0.005199393017041533
24,2010-01-22 00:00:00+00:00,5682.0,NZ,18911265.08,3328.2761492432237,0.023280607787655606,True,0.006284397175671132
25,2010-02-22 00:00:00+00:00,6695.0,NZ,20581139.31,3074.1059462285284,0.0215027394430955,True,0.007404793926631156
26,2010-03-22 00:00:00+00:00,7656.0,NZ,22397349.02,2925.4635606060606,0.020463016497905103,True,0.00846767771505424
27,2010-04-22 00:00:00+00:00,8535.0,NZ,24053492.5,2818.2182190978324,0.019712857370251604,True,0.009439867985630608
28,2010-05-22 00:00:00+00:00,9142.0,NZ,25041710.13,2739.1938448917085,0.019160098110183592,True,0.010111221221398362
29,2010-06-22 00:00:00+00:00,10463.0,NZ,26557884.9,2538.2667399407433,0.01775465429647356,True,0.011572271673538729
30,2010-07-22 00:00:00+00:00,11076.0,NZ,27494323.47,2482.3332854821233,0.01736341127544121,True,0.012250261020368436
31,2010-08-22 00:00:00+00:00,12240.0,NZ,28848865.47,2356.9334534313725,0.016486265216729943,True,0.013537666566387656
32,2010-09-22 00:00:00+00:00,13246.0,NZ,30010660.09,2265.6394451155065,0.015847682387162776,True,0.014650321187775399
33,2010-10-22 00:00:00+00:00,13655.0,NZ,30817075.6,2256.834536799707,0.015786093862679013,True,0.015102682758498647
34,2010-11-22 00:00:00+00:00,14321.0,NZ,33354314.65,2329.0492737937293,0.01629122110965604,True,0.01583929108637562
35,2010-12-22 00:00:00+00:00,16628.0,NZ,36128934.88,2172.7769352898727,0.015198128211822048,True,0.018390875789697215
36,2011-01-22 00:00:00+00:00,18936.0,NZ,38240964.45,2019.4848146387835,0.014125881325509012,True,0.020943566511529135
37,2011-02-22 00:00:00+00:00,20882.0,NZ,40004752.1,1915.7529020208792,0.013400297911022837,True,0.023095878532623123
38,2011-06-22 00:00:00+00:00,46876.0,NZ,52188657.19,1113.334268922263,0.007787544449167454,True,0.051845723690031674
39,2011-07-22 00:00:00+00:00,62591.0,NZ,57672585.2,921.4197760061351,0.006445142004778011,True,0.06922680457980145
40,2011-08-22 00:00:00+00:00,65876.0,NZ,60506092.1,918.4846089622928,0.0064246111144086885,True,0.07286007538622166
41,2011-09-22 00:00:00+00:00,68914.0,NZ,62874040.32,912.3551139100908,0.0063817365559742465,True,0.07622015962059141
42,2011-10-22 00:00:00+00:00,70177.0,NZ,63894651.04,910.4785191729484,0.0063686101613805385,True,0.07761706099913288
43,2011-11-22 00:00:00+00:00,78199.0,NZ,66440794.37,849.637391398867,0.005943038973908883,True,0.08648954148896636
44,2011-12-22 00:00:00+00:00,80393.0,NZ,70570736.12,877.8219014093268,0.006140183830230364,True,0.08891614610062114
45,2012-01-22 00:00:00+00:00,81909.0,NZ,73445524.68,896.6722177050142,0.006272037919456986,True,0.09059287016227503
46,2012-02-22 00:00:00+00:00,93481.0,NZ,78663164.22,841.4882619997646,0.005886037488201486,True,0.10339171636376507
47,2012-03-22 00:00:00+00:00,100215.0,NZ,81915300.39,817.3956033527915,0.005717514291395961,True,0.11083964501229893
48,2012-04-22 00:00:00+00:00,103431.0,NZ,84440995.52,816.399295375661,0.005710545321811944,True,0.11439660054150666
