timestamp,value,country
2008-01-22T00:00:00Z,0.0,IS
2008-02-22T00:00:00Z,0.0,IS
2008-03-22T00:00:00Z,0.0,IS
2008-04-22T00:00:00Z,0.0,IS
2008-05-22T00:00:00Z,0.0,IS
2008-06-22T00:00:00Z,0.0,IS
2008-07-22T00:00:00Z,0.0,IS
2008-08-22T00:00:00Z,26572.64,IS
2008-09-22T00:00:00Z,59287.94,IS
2008-10-22T00:00:00Z,73319.92,IS
2008-11-22T00:00:00Z,75407.33,IS
2008-12-22T00:00:00Z,110605.7,IS
2009-01-22T00:00:00Z,184008.95,IS
2009-02-22T00:00:00Z,190648.48,IS
2009-03-22T00:00:00Z,234769.97,IS
2009-04-22T00:00:00Z,234815.17,IS
2009-05-22T00:00:00Z,239545.91,IS
2009-06-22T00:00:00Z,532532.36,IS
2009-07-22T00:00:00Z,531417.69,IS
2009-08-22T00:00:00Z,545302.1,IS
2009-09-22T00:00:00Z,547271.59,IS
2009-10-22T00:00:00Z,555204.6,IS
2009-11-22T00:00:00Z,578418.4,IS
2009-12-22T00:00:00Z,635078.56,IS
2010-01-22T00:00:00Z,635765.09,IS
2010-02-22T00:00:00Z,669290.77,IS
2010-03-22T00:00:00Z,691512.32,IS
2010-04-22T00:00:00Z,735119.77,IS
2010-05-22T00:00:00Z,762461.86,IS
2010-06-22T00:00:00Z,791599.6,IS
2010-07-22T00:00:00Z,821353.61,IS
2010-08-22T00:00:00Z,821399.73,IS
2010-09-22T00:00:00Z,821720.2,IS
2010-10-22T00:00:00Z,852307.93,IS
2010-11-22T00:00:00Z,854605.98,IS
2010-12-22T00:00:00Z,1069719.49,IS
2011-01-22T00:00:00Z,1419397.35,IS
2011-02-22T00:00:00Z,1573061.08,IS
2011-03-22T00:00:00Z,1802230.43,IS
2011-04-22T00:00:00Z,4311242.87,IS
2011-05-22T00:00:00Z,4734470.58,IS
2011-06-22T00:00:00Z,4871588.1,IS
2011-07-22T00:00:00Z,4985931.86,IS
2011-08-22T00:00:00Z,5206524.72,IS
2011-09-22T00:00:00Z,5299499.14,IS
2011-10-22T00:00:00Z,5496336.25,IS
2011-11-22T00:00:00Z,5550460.59,IS
2011-12-22T00:00:00Z,5792897.3,IS
2012-01-22T00:00:00Z,5835114.96,IS
2012-02-22T00:00:00Z,5849582.8,IS
2012-03-22T00:00:00Z,5848285.77,IS
2012-04-22T00:00:00Z,5970385.89,IS
2012-05-22T00:00:00Z,6048734.99,IS
2012-06-22T00:00:00Z,6619460.35,IS
2012-07-22T00:00:00Z,8027870.41,IS
2012-08-22T00:00:00Z,8463165.38,IS
2012-09-22T00:00:00Z,8575182.2,IS
2012-10-22T00:00:00Z,8682739.96,IS
2012-11-22T00:00:00Z,8965635.03,IS
2012-12-22T00:00:00Z,9886189.16,IS
2013-01-22T00:00:00Z,10207497.11,IS
2013-02-22T00:00:00Z,10552698.61,IS
2013-03-22T00:00:00Z,11008169.08,IS
2013-04-22T00:00:00Z,11743517.09,IS
2013-05-22T00:00:00Z,12957337.65,IS
2013-06-22T00:00:00Z,13478636.81,IS
2013-07-22T00:00:00Z,14051181.24,IS
2013-08-22T00:00:00Z,14222404.32,IS
2013-09-22T00:00:00Z,14568100.58,IS
2013-10-22T00:00:00Z,14681787.09,IS
2013-11-22T00:00:00Z,15118624.6,IS
2013-12-22T00:00:00Z,15230015.89,IS
2014-01-22T00:00:00Z,15309067.19,IS
2014-02-22T00:00:00Z,15335492.76,IS
2014-03-22T00:00:00Z,15469771.54,IS
2014-04-22T00:00:00Z,15545968.8,IS
2014-05-22T00:00:00Z,15689786.84,IS
2014-06-22T00:00:00Z,15836213.33,IS
2014-07-22T00:00:00Z,16065412.01,IS
2014-08-22T00:00:00Z,16352344.17,IS
2014-09-22T00:00:00Z,16419374.61,IS
2014-10-22T00:00:00Z,16520953.28,IS
2014-11-22T00:00:00Z,16726769.23,IS
2014-12-22T00:00:00Z,16869005.91,IS
2015-01-22T00:00:00Z,16952768.08,IS
2015-02-22T00:00:00Z,16982587.83,IS
2015-03-22T00:00:00Z,17075623.61,IS
