timestamp,value,country
2008-01-22T00:00:00Z,0.0,IS
2008-02-22T00:00:00Z,0.0,IS
2008-03-22T00:00:00Z,0.0,IS
2008-04-22T00:00:00Z,0.0,IS
2008-05-22T00:00:00Z,0.0,IS
2008-06-22T00:00:00Z,0.0,IS
2008-07-22T00:00:00Z,0.0,IS
2008-08-22T00:00:00Z,20.0,IS
2008-09-22T00:00:00Z,43.0,IS
2008-10-22T00:00:00Z,50.0,IS
2008-11-22T00:00:00Z,53.0,IS
2008-12-22T00:00:00Z,96.0,IS
2009-01-22T00:00:00Z,144.0,IS
2009-02-22T00:00:00Z,149.0,IS
2009-03-22T00:00:00Z,151.0,IS
2009-04-22T00:00:00Z,152.0,IS
2009-05-22T00:00:00Z,157.0,IS
2009-06-22T00:00:00Z,493.0,IS
2009-07-22T00:00:00Z,493.0,IS
2009-08-22T00:00:00Z,499.0,IS
2009-09-22T00:00:00Z,506.0,IS
2009-10-22T00:00:00Z,531.0,IS
2009-11-22T00:00:00Z,541.0,IS
2009-12-22T00:00:00Z,546.0,IS
2010-01-22T00:00:00Z,556.0,IS
2010-02-22T00:00:00Z,568.0,IS
2010-03-22T00:00:00Z,572.0,IS
2010-04-22T00:00:00Z,585.0,IS
2010-05-22T00:00:00Z,604.0,IS
2010-06-22T00:00:00Z,620.0,IS
2010-07-22T00:00:00Z,633.0,IS
2010-08-22T00:00:00Z,637.0,IS
2010-09-22T00:00:00Z,638.0,IS
2010-10-22T00:00:00Z,644.0,IS
2010-11-22T00:00:00Z,650.0,IS
2010-12-22T00:00:00Z,1077.0,IS
2011-01-22T00:00:00Z,1640.0,IS
2011-02-22T00:00:00Z,2182.0,IS
2011-03-22T00:00:00Z,3343.0,IS
2011-04-22T00:00:00Z,16508.0,IS
2011-05-22T00:00:00Z,18510.0,IS
2011-06-22T00:00:00Z,18998.0,IS
2011-07-22T00:00:00Z,19889.0,IS
2011-08-22T00:00:00Z,20472.0,IS
2011-09-22T00:00:00Z,20671.0,IS
2011-10-22T00:00:00Z,20794.0,IS
2011-11-22T00:00:00Z,20997.0,IS
2011-12-22T00:00:00Z,21558.0,IS
2012-01-22T00:00:00Z,21609.0,IS
2012-02-22T00:00:00Z,21635.0,IS
2012-03-22T00:00:00Z,21636.0,IS
2012-04-22T00:00:00Z,21813.0,IS
2012-05-22T00:00:00Z,22138.0,IS
2012-06-22T00:00:00Z,25389.0,IS
2012-07-22T00:00:00Z,31762.0,IS
2012-08-22T00:00:00Z,33399.0,IS
2012-09-22T00:00:00Z,33864.0,IS
2012-10-22T00:00:00Z,34320.0,IS
2012-11-22T00:00:00Z,35617.0,IS
2012-12-22T00:00:00Z,40875.0,IS
2013-01-22T00:00:00Z,42299.0,IS
2013-02-22T00:00:00Z,43740.0,IS
2013-03-22T00:00:00Z,45138.0,IS
2013-04-22T00:00:00Z,48441.0,IS
2013-05-22T00:00:00Z,53988.0,IS
2013-06-22T00:00:00Z,56908.0,IS
2013-07-22T00:00:00Z,59280.0,IS
2013-08-22T00:00:00Z,60718.0,IS
2013-09-22T00:00:00Z,62877.0,IS
2013-10-22T00:00:00Z,63322.0,IS
2013-11-22T00:00:00Z,64961.0,IS
2013-12-22T00:00:00Z,65545.0,IS
2014-01-22T00:00:00Z,65846.0,IS
2014-02-22T00:00:00Z,65951.0,IS
2014-03-22T00:00:00Z,66463.0,IS
2014-04-22T00:00:00Z,67109.0,IS
2014-05-22T00:00:00Z,67768.0,IS
2014-06-22T00:00:00Z,68359.0,IS
2014-07-22T00:00:00Z,69233.0,IS
2014-08-22T00:00:00Z,71014.0,IS
2014-09-22T00:00:00Z,71475.0,IS
2014-10-22T00:00:00Z,71845.0,IS
2014-11-22T00:00:00Z,72819.0,IS
2014-12-22T00:00:00Z,73425.0,IS
2015-01-22T00:00:00Z,73627.0,IS
2015-02-22T00:00:00Z,73733.0,IS
2015-03-22T00:00:00Z,74171.0,IS
2015-04-22T00:00:00Z,74467.0,IS
2015-05-22T00:00:00Z,74641.0,IS
2015-06-22T00:00:00Z,74925.0,IS
