timestamp,value,idx,place
2016-04-01T00:00:00Z,38907033.45,0,strasburg
2016-05-01T00:00:00Z,38976893.62,0,strasburg
2016-06-01T00:00:00Z,39033067.22,0,strasburg
2016-07-01T00:00:00Z,39559174.56,0,strasburg
2016-08-01T00:00:00Z,39900643.03,0,strasburg
2016-09-01T00:00:00Z,39981612.27,0,strasburg
2016-10-01T00:00:00Z,40061216.63,0,strasburg
2016-11-01T00:00:00Z,40131368.27,0,strasburg
2016-12-01T00:00:00Z,40205095.51,0,strasburg
2017-01-01T00:00:00Z,40376362.1,0,strasburg
2017-02-01T00:00:00Z,40471597.64,0,strasburg
2017-03-01T00:00:00Z,40563923.1,0,strasburg
2017-04-01T00:00:00Z,40590533.02,0,strasburg
2017-05-01T00:00:00Z,40757630.5,0,strasburg
2017-06-01T00:00:00Z,40862217.91,0,strasburg
2017-07-01T00:00:00Z,40905951.22,0,strasburg
2017-08-01T00:00:00Z,40952675.01,0,strasburg
2017-09-01T00:00:00Z,41019221.7,0,strasburg
2017-10-01T00:00:00Z,41112462.29,0,strasburg
2017-11-01T00:00:00Z,41192543.83,0,strasburg
2017-12-01T00:00:00Z,41266232.35,0,strasburg
2018-01-01T00:00:00Z,41353202.1,0,strasburg
2018-02-01T00:00:00Z,41387023.86,0,strasburg
2018-03-01T00:00:00Z,41472210.36,0,strasburg
2018-04-01T00:00:00Z,41586636.28,0,strasburg
2018-05-01T00:00:00Z,41701732.65,0,strasburg
2018-06-01T00:00:00Z,41732731.02,0,strasburg
2018-07-01T00:00:00Z,41774142.27,0,strasburg
2018-08-01T00:00:00Z,41843968.47,0,strasburg
2018-09-01T00:00:00Z,41901754.52,0,strasburg
2018-10-01T00:00:00Z,42027479.42,0,strasburg
2018-11-01T00:00:00Z,42036554.07,0,strasburg
2018-12-01T00:00:00Z,42048793.78,0,strasburg
2019-01-01T00:00:00Z,42222975.23,0,strasburg
2019-02-01T00:00:00Z,42418675.77,0,strasburg
2019-03-01T00:00:00Z,42500116.72,0,strasburg
2019-04-01T00:00:00Z,42543247.66,0,strasburg
2019-05-01T00:00:00Z,42617007.5,0,strasburg
2019-06-01T00:00:00Z,42699774.03,0,strasburg
2019-07-01T00:00:00Z,42837497.32,0,strasburg
2019-08-01T00:00:00Z,42940201.42,0,strasburg
2019-09-01T00:00:00Z,43002612.98,0,strasburg
2019-10-01T00:00:00Z,43065179.43,0,strasburg
2019-11-01T00:00:00Z,43156676.15,0,strasburg
2019-12-01T00:00:00Z,43205033.69,0,strasburg
2020-01-01T00:00:00Z,43293602.97,0,strasburg
2020-02-01T00:00:00Z,43392414.64,0,strasburg
2020-03-01T00:00:00Z,43445412.57,0,strasburg
2020-04-01T00:00:00Z,43482854.22,0,strasburg
2020-05-01T00:00:00Z,43627561.32,0,strasburg
2020-06-01T00:00:00Z,43677493.53,0,strasburg
2020-07-01T00:00:00Z,43737134.0,0,strasburg
2020-08-01T00:00:00Z,43813696.99,0,strasburg
2020-09-01T00:00:00Z,43923610.82,0,strasburg
2020-10-01T00:00:00Z,43983364.79,0,strasburg
2020-11-01T00:00:00Z,44043355.55,0,strasburg
2020-12-01T00:00:00Z,44130541.86,0,strasburg
2021-01-01T00:00:00Z,44234286.44,0,strasburg
2021-02-01T00:00:00Z,44521334.72,0,strasburg
2021-03-01T00:00:00Z,44701229.54,0,strasburg
2021-04-01T00:00:00Z,44762379.06,0,strasburg
2021-05-01T00:00:00Z,44831604.37,0,strasburg
2021-06-01T00:00:00Z,44915706.14,0,strasburg
2021-07-01T00:00:00Z,44915062.19,0,strasburg
2021-08-01T00:00:00Z,44993479.95,0,strasburg
2021-09-01T00:00:00Z,45060827.44,0,strasburg
2021-10-01T00:00:00Z,45087652.66,0,strasburg
2021-11-01T00:00:00Z,45136353.57,0,strasburg
2021-12-01T00:00:00Z,45166697.3,0,strasburg
2022-01-01T00:00:00Z,45214812.83,0,strasburg
2022-02-01T00:00:00Z,45304712.75,0,strasburg
2022-03-01T00:00:00Z,45499027.4,0,strasburg
2022-04-01T00:00:00Z,45611745.42,0,strasburg
2022-05-01T00:00:00Z,45713117.69,0,strasburg
2022-06-01T00:00:00Z,45742999.87,0,strasburg
2022-07-01T00:00:00Z,45772172.15,0,strasburg
2022-08-01T00:00:00Z,45860248.34,0,strasburg
2022-09-01T00:00:00Z,45967721.16,0,strasburg
2022-10-01T00:00:00Z,46110099.33,0,strasburg
2022-11-01T00:00:00Z,46168794.37,0,strasburg
2022-12-01T00:00:00Z,46261553.72,0,strasburg
2023-01-01T00:00:00Z,46352969.92,0,strasburg
2023-02-01T00:00:00Z,46414764.9,0,strasburg
2023-03-01T00:00:00Z,46443393.58,0,strasburg
2023-04-01T00:00:00Z,46488085.61,0,strasburg
2023-05-01T00:00:00Z,46522614.13,0,strasburg
2023-06-01T00:00:00Z,46563479.17,0,strasburg
2023-07-01T00:00:00Z,46567793.2,0,strasburg
